title,show_id,type,director,cast,country,release_year,rating,duration,listed_in,description,platform
UnCabaret,s233,TV Show,Sin Dato,"Beth Lapides, Mitch Kaplan",,2012,TV-MA,1,"Arts, Entertainment, and Culture, Comedy","UnCabaret pushes comedy to the edge! The Hollywood Reporter calls the legendary show that launched the alternative comedy movement ""A radical comedic conspiracy...outrageously funny!"" Each show features established stand-up performers, special musical guests and some of the brightest new talent from shows like SNL, Chelsea Lately and Curb Your Enthusiasm. Episodes are taped at the weekly live showin a swanky little club in Downtown Los Angeles. At UnCabaret the acts keep it real, telling the awesome truth.",amazon
UFO Hunters,s241,TV Show,Sin Dato,William J. Birnes,,2009,TV-PG,2,"Documentary, Special Interest",A team of experts travels to the sites of reported UFO encounters to conduct in-depth investigations regarding the incidents.,amazon
UFO Files,s242,TV Show,Sin Dato,"Burton Richardson, Stanton Friedman",,2004,TV-PG,1,"Horror, Suspense","UFO Files delves into the phenomena of unidentified flying and submerged objects, close encounters with alleged extraterrestrial life, and alleged military and government cover-up conspiracies.",amazon
Uchimura Summers,s243,TV Show,Sin Dato,"Teruyoshi UCHIMURA, Masakazu MIMURA, Kazuki OTAKE",,2018,TV-NR,1,"Arts, Entertainment, and Culture","Teruyoshi Uchimura and Summers feature their guest as MCs to present a haphazard and improvised “clamorous, happy-go-lucky variety show.”",amazon
TuTu Town,s248,TV Show,Sin Dato,,,2014,TV-Y,1,"Animation, International, Kids",Join Andy and his friends as they experience life in TuTu Town! Fun and exciting adventures await the viewer as the characters explore themes of friendship and civic mindedness.,amazon
Turquoise Fever,s249,TV Show,Sin Dato,Otteson Family,,2019,TV-G,1,"Action, Drama","Turquoise Fever follows the Otteson family of Tonopah, Nevada, as they mine for turquoise in the unforgiving Great Basin Desert. They risk blistering heat, dangerous explosions, and treacherous slopes in their quest to unearth the elusive blue stone.",amazon
Tumble Leaf,s252,TV Show,Sin Dato,"Christopher Downs, Brooke Wolloff, Zac McDowell, Skyler Brigmann, Addie Zintel, Alex Trugman, John Taylor, Jodi Downs, Alan Franzenburg, Emily Downs",United States,2019,ALL,6,Kids,"Tumble Leaf is a series aimed at preschoolers, set in a whimsical land where a small blue fox named Fig plays each day and discovers adventure, friendship and love around every bend in the path. Children will be enriched by narratives that promote play, the fun of learning and understanding the world around them.",amazon
Tudor Monastery Farm,s254,TV Show,Sin Dato,"Peter Ginn, Ruth Goodman, Tom Pinfold, Geraldine James",,2013,7+,1,Documentary,"Archaeologist Peter Ginn and historian Ruth Goodman, who is also a leading specialist in Tudor domestic life, return to front this six-part series, joined this time by archaeologist Tom Pinfold. The team turns the clock back to the year 1500 to take on the role of the lay-folk who did the bulk of the farming and crafting within monastic lands.",amazon
Truth Seekers,s256,TV Show,Sin Dato,"Nick Frost, Malcolm McDowell, Samson Kayo, Susan Wokoma, Emma D'Arcy, Simon Pegg","United Kingdom, United States",2020,16+,1,Comedy,"Broadband installer by day, paranormal investigator by night, Gus is annoyed to be partnered with “noob” Elton, but comes to appreciate having someone along for the ride as they uncover a spike in supernatural activity. They’re soon joined by Astrid, who has ghost problems of her own, and the gang embark upon creating a ghost-hunting YouTube channel, uncovering a terrifying conspiracy as they go.",amazon
Troy the Train,s261,TV Show,Sin Dato,,,2019,ALL,2,"Animation, Kids","Troy the train is the fastest and smartest train in Train Town! He can transform himself in any vehicles with the help of his friend, Teddy ! Every day, Troy the train meets new friends, who follow him in wonderful adventures.",amazon
Travels by Narrowboat,s266,TV Show,Sin Dato,Kevin Shelley,,2020,18+,6,"Documentary, Special Interest","Season 6 kicks off at Sawley, where Kevin & Aslan arrived at the end of Season 5. With the weather forecast promising an unseasonably fine winter for the following 2 weeks, Kevin must decide if he is to head north or south - ultimately choosing to 'hibernate' through the cold months, in an area he is familiar with and remembers as comforting, safe and homely.",amazon
Travel with Kids,s267,TV Show,Sin Dato,"Nathan Simmons, Seamus Simmons",,2015,ALL,2,"Kids, Special Interest","Travel With Kids adventure continues from Bora Bora to Botswana. Learn history and culture in California and China. Swim with whale sharks in Mexico, explore the jungles of Belize and get castaway on Fiji. Enjoy Hawaii head out on safari in South Africa. Travel With Kids brings you educational and trip planning, or just trip dreaming fun for the family!",amazon
Trapped [English Subtitled],s268,TV Show,Sin Dato,,,2019,TV-14,2,TV Shows,"When a man immolates himself and a government Minister outside Parliament in Reykjavik, Police chief Andri Ólafsson is in charge of the case. This takes him back to the town he left behind, where darker secrets than he knew lurk in the mountains and valleys around the fjord. Then the brutal murder of the foreman at a geothermal power plant raises questions.",amazon
Transparent,s270,TV Show,Sin Dato,"Trace Lisette, Missi Pyle, Tig Notaro, Jay Duplass, Jerry Adler, Gaby Hoffmann, Judith Light, Richard Kind, Michaela Watkins, Erik Liberman, Jo Lambert, Alia Shawkat, Cherry Jones, Rob Huebel, Melora Hardin, Leslie Margherita, Bradley Whitford, Rainn Wilson, Jenny O'Hara, Kathryn Hahn, Amy Landecker",United States,2019,18+,5,"Comedy, Drama, LGBTQ","THE TRANSPARENT MUSICALE FINALE takes the beloved Emmy and Golden Globe award-winning series TRANSPARENT to new heights as a dazzling two-hour movie musical fantasia. When the Pfeffermans face a life-changing loss, they begin a journey hilarious and melancholy, brazen and bold. As they face this new transition, they confront grief and come together to celebrate connection, joy, and transformation.",amazon
Trail of Tears,s273,TV Show,Sin Dato,various,,2008,13+,1,"Documentary, Special Interest","Native Americans have experienced a history full of oppression and racism. Since the period when Native tribes were found on this continent at the time of its discovery, the British and American governments disregarded Native Americans as the owners of the territory they occupied and used aggressive force to take their lands and destroy their people.",amazon
Tougher In Alaska,s279,TV Show,Sin Dato,Geo Beach,,2008,TV-PG,1,TV Shows,"Everything is Tougher In Alaska. From earning a living to burying the dead, everyday life is shaped by unimaginably severe weather, impassable terrain and mind-bendingly vast distances.",amazon
Totally Spies!,s282,TV Show,Sin Dato,"Jennifer Hale, Andrea Baker, Katie Griffin, Adrian Truss",,2014,TV-Y7,6,Kids,"Join Sam, Alex and Clover, high school best friends, as they accidentally find their way into their secret lives of being undercover spies for WOOHP, who fight and foil the devious plans of the world's strangest and the most outrageous supervillains. Each episode gives us a sneak peek into their lives and serves as a reminder that some super spies have high school woes and homework!",amazon
Total Wipeout,s283,TV Show,Sin Dato,"Richard Hammond, Amanda Byram","United Kingdom, Argentina",2012,ALL,6,"Comedy, Documentary, Unscripted",Join Richard Hammond and Amanda Byram for a cup of cocoa by the fire and to watch 20 brave and chilly Brits take on brand spanking new Winter Wipeout. All the things you know and love about Total Wipeout with a new course of HUGE obstacles in a snowy winter wonderland setting.,amazon
Toradora!,s286,TV Show,Sin Dato,"Rie Kugimiya, Junji Majima",Japan,2009,TV-14,1,"Animation, Anime, Drama","Toradora! tells the tale of Ryuji (dragon) and Taiga (tiger) helping each other confess to their crushes. From the classroom, to the pool, to a summer vacation house and even the school's culture festival... will Ryuji and Taiga be able to help one another conquer their emotions, or will a new bond be formed in the chaotic war of love?",amazon
Top Gear's Top 41,s288,TV Show,Sin Dato,Richard Hammond,,2013,TV-PG,1,Documentary,"Jeremy Clarkson, Richard Hammond, James May and occasionally The Stig, have created some of the most memorable moments on TV in the past 10 years. Top Gear's Top 41 will take you on a journey through their favorite moments from the past 19 seasons, including the very best of the races, the challenges, the road-trips, and the often slightly ridiculous stunts.",amazon
Top Gear: The Perfect Road Trip Italy,s289,TV Show,Sin Dato,"Richard Hammond, Jeremy Clarkson",,2015,TV-PG,1,Documentary,"Once again, Clarkson and Hammond are seeking joy and perfection with a range of fast, beautiful and exciting cars unleashed on glorious roads amongst gorgeous scenery and drenched in Mediterranean sunshine. As part of their arduous research into perfection, the duo will also undertake some ridiculous challenges and hilarious stunts culminating in a car race on the island of Capri.",amazon
Top Gear: The Perfect Road Trip,s290,TV Show,Sin Dato,"Jeremy Clarkson, Richard Hammond",,2013,TV-PG,1,Unscripted,"Seven days, more than 1,000 miles, 20 cars, two boats, a motorbike and one dream...it all adds up to the perfect road trip for Top Gear stars Jeremy Clarkson and Richard Hammond. Their aim is to select the ideal mode of transport for each leg of a pilgrimage from Venice, Italy to Pau in France. Then they turn up the heat with a race... and the worst forfeit in Top Gear television history!",amazon
Top Gear: From A-Z,s291,TV Show,Sin Dato,"Richard Hammond, James May, Jeremy Clarkson",,2015,TV-14,1,TV Shows,"From A-Z incorporates a wealth of footage and incredible facts from the past 13 years of Top Gear. Viewers get to see the greatest moments from the past 22 seasons, including behind the scenes of incredible builds, eventful trips abroad, exhilarating races, outrageous challenges, and the many famous faces who have graced the Dunsfold track.",amazon
Top Gear: Ambitious But Rubbish,s292,TV Show,Sin Dato,Richard Hammond,,2014,TV-PG,1,Documentary,"This compilation show presented by Richard Hammond takes a look back at Top Gear's most famous creations from the past 21 seasons. Relive many of the greatest and boldest endeavors in all their splendor, including the Train-Cars, James' Caravan Airship, the Hammerhead Eagle-i Thrust and the Hovervan.",amazon
Top Gear America (2017),s293,TV Show,Sin Dato,"William Fichtner, Tom Ford, Antron Brown",,2017,TV-14,1,Special Interest,"Actor William Fichtner, Top Fuel Champ Antron Brown and journalist Tom ""Wookie"" Ford host an all-new Top Gear America. Each week will feature a different celebrity competing on the new Top Gear America studio and track in Las Vegas. Of course, the one and only Stig, Top Gear's mysterious test driver, will be leaving everyone in his petrol-hazed wake.",amazon
Too Old to Die Young,s294,TV Show,Sin Dato,"Babs Olusanmokun, Augusto Aguilera, John Hawkes, Jena Malone, Hart Bochner, Nell Tiger Free, Celestino Cornielle, Billy Baldwin, Miles Teller",United States,2019,18+,1,TV Shows,"In one tragic night, Los Angeles County Sheriff's Deputy Martin Jones's life is blown apart, and he is forced into a deadly underground of Cartel soldiers, Yakuza assassins, and mysterious vigilantes. Soon he finds himself lost on a surreal odyssey of murder, mysticism and vengeance, as his past sins close in on him.",amazon
Tommy Little: Self-Diagnosed Genius,s298,TV Show,Sin Dato,Tommy Little,,2020,16+,1,"Arts, Entertainment, and Culture","Idiot or genius? For many the jury has been out on Tommy Little, but he’s here to set the record straight. Would an idiot bungee jump nude on live TV? Or sign up to run and Antarctic marathon with no previous experience or training? We rest our case. Tommy has refined the art of how not to live – see how truly entertaining that can be, with one of the year’s most raucous hours of stand-up.",amazon
Tom's Paint Shop,s299,TV Show,Sin Dato,,,2019,ALL,2,"Animation, Kids","Tom the Tow Truck, the famous truck of Car City, is also fond of painting ! Tom welcomes his truck friends into his brand new Paint Shop and transforms them into their favorite character. Tom The Tow Truck can paint anything that comes from his friends' imagination. Welcome to Tom's Paint Shop !",amazon
Tom Walker: Very Very,s301,TV Show,Sin Dato,Tom Walker,,2020,16+,1,"Comedy, Talk Show and Variety","A love letter to mime (and to a coat) written by award-winning idiot Tom Walker, who keeps talking during what he insists is a mime show.",amazon
